gene;anchor_index;function
IMGT000044|oncmyk_IGHV7D-61*01|Oncorhynchus mykiss|IGHV7D|ORF|V-REGION;283;ORF
IMGT000044|oncmyk_IGHV7D-62*01|Oncorhynchus mykiss|IGHV7D|ORF|V-REGION;283;ORF
IMGT000043|oncmyk_IGHV8-11*01|Oncorhynchus mykiss|IGHV8|P|V-REGION;274;P
IMGT000043|oncmyk_IGHV8-19*01|Oncorhynchus mykiss|IGHV8|ORF|V-REGION;271;ORF
IMGT000043|oncmyk_IGHV8-30*01|Oncorhynchus mykiss|IGHV8|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV8-40*01|Oncorhynchus mykiss|IGHV8|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV8-46*01|Oncorhynchus mykiss|IGHV8|F|V-REGION;268;F
IMGT000043|oncmyk_IGHV8-5*01|Oncorhynchus mykiss|IGHV8|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV9-15*01|Oncorhynchus mykiss|IGHV9|F|V-REGION;274;F
IMGT000043|oncmyk_IGHV9-23*01|Oncorhynchus mykiss|IGHV9|F|V-REGION;274;F
IMGT000043|oncmyk_IGHV9-34*01|Oncorhynchus mykiss|IGHV9|P|V-REGION;274;P
IMGT000043|oncmyk_IGHV9-45*01|Oncorhynchus mykiss|IGHV9|F|V-REGION;274;F
IMGT000044|oncmyk_IGHV9D-2*01|Oncorhynchus mykiss|IGHV9D|F|V-REGION;268;F
